Date,AAPL Open,AAPL High,AAPL Low,AAPL Close,AAPL Adj Close,AAPL Volume,FB Open,FB High,FB Low,FB Close,FB Adj Close,FB Volume,KO Open,KO High,KO Low,KO Close,KO Adj Close,KO Volume,SPOT Open,SPOT High,SPOT Low,SPOT Close,SPOT Adj Close,SPOT Volume
29/09/20,114.550003,115.309998,113.57,114.089996,113.530724,99382200,257.809998,263.329987,256.899994,261.790009,261.790009,20200200,49.389999,49.560001,48.91,48.919998,47.778717,12426600,237.389999,244.330002,234.639999,242.449997,242.449997,1213600
30/09/20,113.790001,117.260002,113.620003,115.809998,115.242294,142675200,261.980011,266.079987,260.100006,261.899994,261.899994,20142500,49.27,49.619999,48.889999,49.369999,48.218216,15755900,244,246.466995,240.600006,242.570007,242.570007,1131800
01/10/20,117.639999,117.720001,115.830002,116.790001,116.217491,116120400,265.350006,268.329987,264.799988,266.630005,266.630005,20009800,49.439999,49.66,48.59,49.18,48.03265,17577300,244.520004,250.75,243.964996,250.190002,250.190002,1051500
02/10/20,112.889999,115.370003,112.220001,113.019997,112.465973,144712000,261.209991,265.149994,259.179993,259.940002,259.940002,16367600,48.759998,49.580002,48.549999,49.360001,48.208454,13610100,244.070007,249.320007,240.179993,240.279999,240.279999,1043800
05/10/20,113.910004,116.650002,113.550003,116.5,115.928909,106243800,262.200012,264.869995,260.839996,264.649994,264.649994,12822300,49.43,49.549999,49.119999,49.380001,48.227985,10628700,244.100006,252.110001,241.270996,251.369995,251.369995,964300
06/10/20,115.699997,116.120003,112.25,113.160004,112.605286,161498200,261.779999,265.690002,258.23999,258.660004,258.660004,18696900,49.549999,49.73,48.830002,48.939999,47.798248,10077400,249.679993,255.699997,247.149994,248.539993,248.539993,932600
07/10/20,114.620003,115.550003,114.129997,115.080002,114.515877,96849000,259.209991,260.179993,254.820007,258.119995,258.119995,23133400,49.02,49.759998,48.950001,49.560001,48.403786,10135600,251.699997,253.25,246.740005,251.509995,251.509995,616700
08/10/20,116.25,116.400002,114.589996,114.970001,114.40641,83477200,259.75,264.619995,259.149994,263.76001,263.76001,16312800,49.709999,50.540001,49.540001,50.459999,49.282791,12143900,254.630005,254.899994,247.679993,249.800003,249.800003,765600
09/10/20,115.279999,117,114.919998,116.970001,116.396606,100506900,264.519989,264.75,262.170013,264.450012,264.450012,14107800,50.669998,51.23,50.599998,50.810001,49.624626,11407800,249.669998,252.886002,248.052002,250,250,617300
12/10/20,120.059998,125.18,119.279999,124.400002,123.790192,240226800,270.200012,280.179993,267.869995,275.75,275.75,31019300,50.84,51.529999,50.830002,51.09,49.898087,11386500,252.130005,253.619995,248.210007,251.440002,251.440002,937600
